,gpc,basic,scope
0,I.1.1,basic,1
1,I.1.2,basic,2
2,I.1.3,basic+,3
3,I.2.1,basic,1
4,I.2.2,basic,2
5,I.2.3,basic+,3
6,I.3.1,basic,1
7,I.3.2,basic,2
8,I.3.3,basic+,3
9,I.4.1,basic,1
10,I.4.2,basic,2
11,I.4.3,basic+,3
12,I.4.4,territorial,1
13,I.5.1,basic,1
14,I.5.2,basic,2
15,I.5.3,basic+,3
16,I.6.1,basic,1
17,I.6.2,basic,2
18,I.6.3,basic+,3
19,I.7.1,basic,1
20,I.8.1,basic,1
21,II.1.1,basic,1
22,II.1.2,basic,2
23,II.1.3,basic+,3
24,II.2.1,basic,1
25,II.2.2,basic,2
26,II.2.3,basic+,3
27,II.3.1,basic,1
28,II.3.2,basic,2
29,II.3.3,basic+,3
30,II.4.1,basic,1
31,II.4.2,basic,2
32,II.4.3,basic+,3
33,II.5.1,basic,1
34,II.5.2,basic,2
35,III.1.1,basic,1
36,III.1.2,basic,3
37,III.1.3,territorial,1
38,III.2.1,basic,1
39,III.2.2,basic,3
40,III.2.3,territorial,1
41,III.3.1,basic,1
42,III.3.2,basic,3
43,III.3.3,territorial,1
44,III.4.1,basic,1
45,III.4.2,basic,3
46,III.4.3,territorial,1
47,IV.1,basic+,1
48,IV.2,basic+,1
49,V.1,basic+,1
50,V.2,basic+,1
51,V.3,basic+,1
52,VI.1,other scope3,3
